num_datos,num_threads,tiempo promedio (s),speedups
20000,1,13.969,1
20000,4,9.635,1.449818371
20000,8,9.399,1.486221939
20000,16,8.701,1.60544765
40000,1,65.12,1
40000,4,59.405,1.096204023
40000,8,51.519,1.263999689
40000,16,41.97,1.551584465
80000,1,397.236,1
80000,4,276.666,1.435796231
80000,8,158.878,2.50025806
80000,16,239.01,1.662005774
120000,1,627.269,1
120000,4,403.159,1.555884899
120000,8,389.182,1.61176262
120000,16,490.73,1.278236505
140000,1,764.279,1
140000,4,485.63,1.573788687
140000,8,426.84,1.790551495
140000,16,521.505,1.465525738
160000,1,991.145,1
160000,4,747.31,1.326283604
160000,8,840.201,1.17965225
160000,16,640.03,1.548591472
180000,1,2253.36,1
180000,4,922.174,2.44353018
180000,8,891.523,2.527539951
180000,16,681.733,3.305340947
200000,1,1604.8,1
200000,4,1138.52,1.409549239
200000,8,1098.2,1.46130031
200000,16,884.683,1.813983088
